iter,Loss,L1,mask,SSIM,LPIPS
1,"tensor([0.1169], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0889, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0465, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7336, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2335], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2,"tensor([0.1038], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0726, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0415, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7777, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2046], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
3,"tensor([0.1164], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0904, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0505, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2309], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
4,"tensor([0.1037], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0741, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0427, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7734, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2069], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
5,"tensor([0.0949], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0686, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0389, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7648, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2059], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
6,"tensor([0.0898], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0581, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0337, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1704], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
7,"tensor([0.0905], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0570, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0393, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8053, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1880], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
8,"tensor([0.0952], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0661, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0463, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7715, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2080], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
9,"tensor([0.0854], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0528, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0355, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8163, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1739], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
10,"tensor([0.0809], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0514, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0391, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8144, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1763], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
11,"tensor([0.0869], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0550, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0456, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7994, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1945], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
12,"tensor([0.0774], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0463, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0382, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8297, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1649], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
13,"tensor([0.0878], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0578, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0541, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7853, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1965], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
14,"tensor([0.0806], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0517, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0517, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7979, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1902], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
15,"tensor([0.0732], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0408, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0425, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8346, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1576], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
16,"tensor([0.0772], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0476, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0496, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8101, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1730], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
17,"tensor([0.0756], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0425, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0554, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8221, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1801], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
18,"tensor([0.0843], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0551, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0783, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.7687, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2235], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
19,"tensor([0.0743], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0445, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0616, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1908], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
